neighborhood,neighborhood-2,st_distance,st_distance_standardized
1,1,0.0,0.0
1,2,44.66464558287268,0.4463786595885474
1,3,49.88823334379302,0.4985832180829483
1,4,46.64273704769885,0.46614771417500633
1,5,45.3847828694716,0.45357571472056046
1,6,44.26012581432304,0.4423358872860733
1,7,40.58014710293355,0.4055581642555265
1,8,41.02127758541686,0.4099668241901316
1,9,59.186758381226525,0.5915127172023088
1,10,25.262418893488842,0.25247272280974115
1,11,38.26172444934428,0.38238783830838075
1,12,45.41279913232471,0.453855709371718
1,13,100.05999306517616,1.0
1,14,72.48508182341571,0.7244162187399018
1,15,66.15986709250019,0.661201995580847
1,0,78.99697762014196,0.7894961332716227
2,1,44.66464558287268,0.4463786595885474
2,2,0.0,0.0
2,3,5.920105274762069,0.059165557516138195
2,4,4.805241584833031,0.04802360501567332
2,5,2.5269816329275927,0.025254665281473593
2,6,7.7111767224811265,0.0770655332492207
2,7,4.837142112247945,0.048342419023526935
2,8,5.917997289133212,0.059144490298719106
2,9,15.720253705781762,0.15710828298321036
2,10,19.466020445598197,0.19454349185211917
2,11,25.571110009951134,0.25555778315210215
2,12,6.737419838825846,0.06733380277607343
2,13,55.499355039302436,0.5546607923823438
2,14,32.118174406300106,0.32098917281934314
2,15,34.494514323474796,0.3447383241472551
2,0,34.528077335426644,0.3450737530327037
3,1,49.88823334379302,0.4985832180829483
3,2,5.920105274762069,0.059165557516138195
3,3,0.0,0.0
3,4,3.7027515201564136,0.037005314579070074
3,5,4.510303905707868,0.0450759965850686
3,6,7.780303525428559,0.07775638681446537
3,7,10.756934223452804,0.10750484678173075
3,8,11.673454060850677,0.1166645499690064
3,9,9.81997500975954,0.09814087238006398
3,10,24.629589626513336,0.24614822440043885
3,11,26.391427137060536,0.2637560360399978
3,12,10.841676455343473,0.10835176101083198
3,13,50.17512191214891,0.5014503836659903
3,14,26.29240481491717,0.2627664065276425
3,15,30.009441585951134,0.2999144879652736
3,0,30.07993406762535,0.30061899012957316
4,1,46.64273704769885,0.46614771417500633
4,2,4.805241584833031,0.04802360501567332
4,3,3.7027515201564136,0.037005314579070074
4,4,0.0,0.0
4,5,2.3124668541559896,0.023110803662056183
4,6,4.248245227650765,0.04245698103220517
4,7,9.123044244768174,0.09117574332456418
4,8,10.569632010542668,0.10563294766228815
4,9,12.593198236195489,0.12585647720355775
4,10,21.446634171574924,0.2143377539273385
4,11,22.98486936695211,0.22971088306972437
4,12,11.305158784649533,0.11298380539848411
4,13,53.506314020774596,0.5347423318920494
4,14,28.03137869407535,0.2801457189370034
4,15,29.69057106450372,0.29672769460581666
4,0,33.73952754807898,0.33719298307468437
5,1,45.3847828694716,0.45357571472056046
5,2,2.5269816329275927,0.025254665281473593
5,3,4.510303905707868,0.0450759965850686
5,4,2.3124668541559896,0.023110803662056183
5,5,0.0,0.0
5,6,5.474207930617037,0.05470925754563362
5,7,6.876037771408871,0.06871915098904735
5,8,8.263195996817075,0.08258241624536862
5,9,14.186859732285313,0.1417835370330718
5,10,20.12372948877593,0.201116638851533
5,11,23.893679269376346,0.23879353313379406
5,12,9.182755709290058,0.09177249995718748
5,13,54.67558342156139,0.5464280153002541
5,14,30.108326221754172,0.30090274143975293
5,15,31.992460789952215,0.319732790398189
5,0,34.31699416045788,0.34296418687641517
6,1,44.26012581432304,0.4423358872860733
6,2,7.7111767224811265,0.0770655332492207
6,3,7.780303525428559,0.07775638681446537
6,4,4.248245227650765,0.04245698103220517
6,5,5.474207930617037,0.05470925754563362
6,6,0.0,0.0
6,7,10.567893195956882,0.10561556994185743
6,8,12.423403592849768,0.124159548809458
6,9,15.201848003657163,0.15192733417196144
6,10,19.462526477893313,0.1945085731238857
6,11,18.7373786737038,0.18726144285757465
6,12,14.429738212431808,0.14421086560572413
6,13,56.39247629966103,0.5635866500902975
6,14,28.899024362103034,0.28881697346589913
6,15,28.143187312530188,0.28126313474955505
6,0,37.406193272128576,0.3738376560526371
7,1,40.58014710293355,0.4055581642555265
7,2,4.837142112247945,0.048342419023526935
7,3,10.756934223452804,0.10750484678173075
7,4,9.123044244768174,0.09117574332456418
7,5,6.876037771408871,0.06871915098904735
7,6,10.567893195956882,0.10561556994185743
7,7,0.0,0.0
7,8,2.0124022433303357,0.020111956654039698
7,9,20.545561464827966,0.20533242943006388
7,10,15.701120379349002,0.15691706443674996
7,11,25.97848017663613,0.25962904234577056
7,12,6.131457575247085,0.06127781331399086
7,13,59.90363232790759,0.5986771585011815
7,14,36.9104323940279,0.3688830197098407
7,15,38.488537693740746,0.3846546108460195
7,0,38.41686755433338,0.3839383391652821
8,1,41.02127758541686,0.4099668241901316
8,2,5.917997289133212,0.059144490298719106
8,3,11.673454060850677,0.1166645499690064
8,4,10.569632010542668,0.10563294766228815
8,5,8.263195996817075,0.08258241624536862
8,6,12.423403592849768,0.124159548809458
8,7,2.0124022433303357,0.020111956654039698
8,8,0.0,0.0
8,9,21.298500420123304,0.2128573045797643
8,10,16.537031165332714,0.16527116041833997
8,11,27.944986725400877,0.2792823172314067
8,12,4.7155770434061735,0.04712749720394828
8,13,59.918072557396336,0.5988214742166478
8,14,37.96201718939103,0.3793925626665163
8,15,40.15651015528247,0.4013243347830905
8,0,38.07056094397882,0.38047734941557276
9,1,59.186758381226525,0.5915127172023088
9,2,15.720253705781762,0.15710828298321036
9,3,9.81997500975954,0.09814087238006398
9,4,12.593198236195489,0.12585647720355775
9,5,14.186859732285313,0.1417835370330718
9,6,15.201848003657163,0.15192733417196144
9,7,20.545561464827966,0.20533242943006388
9,8,21.298500420123304,0.2128573045797643
9,9,0.0,0.0
9,10,34.0329117760164,0.3401250663074537
9,11,31.193311085263367,0.31174608482078303
9,12,19.460605655751362,0.19448937641915776
9,13,41.19067045461379,0.4116597372516645
9,14,17.164476235091016,0.1715418491375527
9,15,24.90179099570943,0.24886860605206249
9,0,23.27632970439309,0.2326237389326178
10,1,25.262418893488842,0.25247272280974115
10,2,19.466020445598197,0.19454349185211917
10,3,24.629589626513336,0.24614822440043885
10,4,21.446634171574924,0.2143377539273385
10,5,20.12372948877593,0.201116638851533
10,6,19.462526477893313,0.1945085731238857
10,7,15.701120379349002,0.15691706443674996
10,8,16.537031165332714,0.16527116041833997
10,9,34.0329117760164,0.3401250663074537
10,10,0.0,0.0
10,11,21.577987422372644,0.215650498879381
10,12,21.209230652427486,0.21196514213840104
10,13,74.79783454461938,0.747529879358459
10,14,48.286798184126475,0.48257846822629563
10,15,44.85722977848685,0.44830334686579637
10,0,53.9533095343793,0.5392096069728457
11,1,38.26172444934428,0.38238783830838075
11,2,25.571110009951134,0.25555778315210215
11,3,26.391427137060536,0.2637560360399978
11,4,22.98486936695211,0.22971088306972437
11,5,23.893679269376346,0.23879353313379406
11,6,18.7373786737038,0.18726144285757465
11,7,25.97848017663613,0.25962904234577056
11,8,27.944986725400877,0.2792823172314067
11,9,31.193311085263367,0.31174608482078303
11,10,21.577987422372644,0.215650498879381
11,11,0.0,0.0
11,12,31.625932874967038,0.316069708843242
11,13,70.55452638248813,0.7051222393802383
11,14,38.23485779461499,0.38211933284574506
11,15,28.409083745336222,0.28392050483984516
11,0,54.46285982045538,0.5443020547181115
12,1,45.41279913232471,0.453855709371718
12,2,6.737419838825846,0.06733380277607343
12,3,10.841676455343473,0.10835176101083198
12,4,11.305158784649533,0.11298380539848411
12,5,9.182755709290058,0.09177249995718748
12,6,14.429738212431808,0.14421086560572413
12,7,6.131457575247085,0.06127781331399086
12,8,4.7155770434061735,0.04712749720394828
12,9,19.460605655751362,0.19448937641915776
12,10,21.209230652427486,0.21196514213840104
12,11,31.625932874967038,0.316069708843242
12,12,0.0,0.0
12,13,56.27410734372814,0.5624036702368431
12,14,36.56857595514744,0.3654665049929369
12,15,40.706299455903896,0.4068189314123678
12,0,33.98569560655472,0.3396531877072731
13,1,100.05999306517616,1.0
13,2,55.499355039302436,0.5546607923823438
13,3,50.17512191214891,0.5014503836659903
13,4,53.506314020774596,0.5347423318920494
13,5,54.67558342156139,0.5464280153002541
13,6,56.39247629966103,0.5635866500902975
13,7,59.90363232790759,0.5986771585011815
13,8,59.918072557396336,0.5988214742166478
13,9,41.19067045461379,0.4116597372516645
13,10,74.79783454461938,0.747529879358459
13,11,70.55452638248813,0.7051222393802383
13,12,56.27410734372814,0.5624036702368431
13,13,0.0,0.0
13,14,33.90728544479197,0.3388695562141979
13,15,49.713293697140855,0.4968348705037294
13,0,23.319595486460194,0.23305613734422798
14,1,72.48508182341571,0.7244162187399018
14,2,32.118174406300106,0.32098917281934314
14,3,26.29240481491717,0.2627664065276425
14,4,28.03137869407535,0.2801457189370034
14,5,30.108326221754172,0.30090274143975293
14,6,28.899024362103034,0.28881697346589913
14,7,36.9104323940279,0.3688830197098407
14,8,37.96201718939103,0.3793925626665163
14,9,17.164476235091016,0.1715418491375527
14,10,48.286798184126475,0.48257846822629563
14,11,38.23485779461499,0.38211933284574506
14,12,36.56857595514744,0.3654665049929369
14,13,33.90728544479197,0.3388695562141979
14,14,0.0,0.0
14,15,16.372704026249956,0.16362887428530257
14,0,26.769012752001533,0.26752962829574634
15,1,66.15986709250019,0.661201995580847
15,2,34.494514323474796,0.3447383241472551
15,3,30.009441585951134,0.2999144879652736
15,4,29.69057106450372,0.29672769460581666
15,5,31.992460789952215,0.319732790398189
15,6,28.143187312530188,0.28126313474955505
15,7,38.488537693740746,0.3846546108460195
15,8,40.15651015528247,0.4013243347830905
15,9,24.90179099570943,0.24886860605206249
15,10,44.85722977848685,0.44830334686579637
15,11,28.409083745336222,0.28392050483984516
15,12,40.706299455903896,0.4068189314123678
15,13,49.713293697140855,0.4968348705037294
15,14,16.372704026249956,0.16362887428530257
15,15,0.0,0.0
15,0,42.19024739696801,0.4216495135022298
0,1,78.99697762014196,0.7894961332716227
0,2,34.528077335426644,0.3450737530327037
0,3,30.07993406762535,0.30061899012957316
0,4,33.73952754807898,0.33719298307468437
0,5,34.31699416045788,0.34296418687641517
0,6,37.406193272128576,0.3738376560526371
0,7,38.41686755433338,0.3839383391652821
0,8,38.07056094397882,0.38047734941557276
0,9,23.27632970439309,0.2326237389326178
0,10,53.9533095343793,0.5392096069728457
0,11,54.46285982045538,0.5443020547181115
0,12,33.98569560655472,0.3396531877072731
0,13,23.319595486460194,0.23305613734422798
0,14,26.769012752001533,0.26752962829574634
0,15,42.19024739696801,0.4216495135022298
0,0,0.0,0.0
